company,specific_bean_origin,review_year,cocoa_percent,company_location,rating,bean_type,broad_bean_origin,company_imp,specific_bean_origin_imp,review_year_imp,cocoa_percent_imp,company_location_imp,rating_imp,bean_type_imp,broad_bean_origin_imp
A. Morin,Agua Grande,2016,0.63,France,3.75,Trinitario,Sao Tome-Principe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Kpime,2015,0.7,France,2.75,Criollo,Togo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Atsane,2015,0.7,France,3,Criollo,Togo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Akata,2015,0.7,France,3.5,Criollo,Togo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Quilla,2015,0.7,France,3.5,Trinitario,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Carenero,2014,0.7,France,2.75,Criollo,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A. Morin,Cuba,2014,0.7,France,3.5,Trinitario,Cuba,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Sur del Lago,2014,0.7,France,3.5,Criollo,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A. Morin,Puerto Cabello,2014,0.7,France,3.75,Criollo,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A. Morin,Pablino,2014,0.7,France,4,Criollo,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Panama,2013,0.7,France,2.75,Criollo,Panama,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Madagascar,2013,0.7,France,3,Criollo,Madagascar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A. Morin,Brazil,2013,0.7,France,3.25,Criollo,Brazil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Equateur,2013,0.7,France,3.75,Forastero (Arriba),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Colombie,2013,0.7,France,2.75,Forastero,Colombia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Birmanie,2013,0.7,France,3,Criollo,Burma,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Papua New Guinea,2013,0.7,France,3.25,Trinitario,Papua New Guinea,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Chuao,2013,0.7,France,4,Trinitario,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A. Morin,Piura,2013,0.7,France,3.25,Criollo,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Chanchamayo Province,2013,0.7,France,3.5,Criollo,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Chanchamayo Province,2013,0.63,France,4,Criollo,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Bolivia,2012,0.7,France,3.5,Trinitario,Bolivia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A. Morin,Peru,2012,0.63,France,3.75,Criollo,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Acalli,"Chulucanas, El Platanal",2015,0.7,U.S.A.,3.75,Trinitario,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Acalli,"Tumbes, Norandino",2015,0.7,U.S.A.,3.75,Criollo,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adi,Vanua Levu,2011,0.6,Fiji,2.75,Trinitario,Fiji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adi,"Vanua Levu, Toto-A",2011,0.8,Fiji,3.25,Trinitario,Fiji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adi,Vanua Levu,2011,0.88,Fiji,3.5,Trinitario,Fiji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adi,"Vanua Levu, Ami-Ami-CA",2011,0.72,Fiji,3.5,Trinitario,Fiji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,0.7,Ecuador,3,Forastero (Arriba),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ah Cacao,Tabasco,2009,0.7,Mexico,3,Criollo,Mexico,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,0.75,Switzerland,3.75,Trinitario,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,0.75,Switzerland,2.75,Criollo,Madagascar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Akesson's (Pralus),"Monte Alegre, D. Badero",2010,0.75,Switzerland,2.75,Forastero,Brazil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alain Ducasse,Trinite,2014,0.65,France,2.75,Trinitario,Trinidad-Tobago,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alain Ducasse,Vietnam,2014,0.75,France,2.75,Trinitario,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alain Ducasse,Madagascar,2014,0.75,France,3,Trinitario,Madagascar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alain Ducasse,Chuao,2013,0.75,France,2.5,Trinitario,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alain Ducasse,"Piura, Perou",2013,0.75,France,2.5,Trinitario,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Alexandre,"Winak Coop, Napo",2017,0.7,Netherlands,3.5,Forastero (Nacional),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alexandre,"La Dalia, Matagalpa",2017,0.7,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alexandre,Tien Giang,2017,0.7,Netherlands,3.5,Trinitario,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alexandre,"Makwale Village, Kyela",2017,0.7,Netherlands,3.5,Forastero,Tanzania,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Altus aka Cao Artisan,Momotombo,2016,0.6,U.S.A.,2.75,Trinitario,Nicaragua,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Acopagro,2016,0.6,U.S.A.,3,Forastero (Arriba),Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,CIAAB Coop,2016,0.6,U.S.A.,2.5,Trinitario,Bolivia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Villa Andina,2016,0.6,U.S.A.,2.5,Trinitario,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Gruppo Salinas,2016,0.6,U.S.A.,2.75,Forastero (Arriba),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Sur del Lago,2013,0.6,U.S.A.,2.5,Blend,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Conacado,2013,0.6,U.S.A.,3,Trinitario,Dominican Republic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Altus aka Cao Artisan,Bolivia,2013,0.8,U.S.A.,3.25,Trinitario,Bolivia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Bolivia,2013,0.6,U.S.A.,3,Trinitario,Bolivia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Altus aka Cao Artisan,Peru,2013,0.6,U.S.A.,3.25,Forastero (Arriba),Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,Morobe,2011,0.7,U.S.A.,4,Trinitario,Papua New Guinea,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,Dos Rios,2010,0.7,U.S.A.,3.75,Blend,Dominican Republic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,Guayas,2010,0.7,U.S.A.,4,Forastero (Arriba),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,Chuao,2010,0.7,U.S.A.,3,Trinitario,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amano,Montanya,2009,0.7,U.S.A.,3,Trinitario,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,"Bali, Jembrana",2008,0.7,U.S.A.,2.75,Trinitario,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,Madagascar,2007,0.7,U.S.A.,3.5,Trinitario,Madagascar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amano,Cuyagua,2007,0.7,U.S.A.,3,Trinitario,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amano,Ocumare,2007,0.7,U.S.A.,3.75,Criollo,Venezuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amatller (Simon Coll),Ghana,2009,0.7,Spain,3,Forastero,Ghana,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amatller (Simon Coll),Ecuador,2009,0.7,Spain,2.75,Forastero (Arriba),Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amatller (Simon Coll),Ecuador,2009,0.85,Spain,2.75,Trinitario,Ecuador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amatller (Simon Coll),Ghana,2009,0.85,Spain,3,Forastero,Ghana,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,0.72,Peru,3.25,Trinitario,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Amazona,"Bellavista Gran Pajeten, San Martin",2013,0.73,Peru,3.5,Trinitario,Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ambrosia,Belize,2015,0.64,Canada,3,Trinitario,Belize,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ambrosia,Madagascar,2015,0.66,Canada,3.25,Trinitario,Madagascar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ambrosia,Dominican Republic,2015,0.75,Canada,3.25,Trinitario,Dominican Republic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ambrosia,Papua New Guinea,2015,0.63,Canada,3.25,Trinitario,Papua New Guinea,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
